3441.941977518228, 1870.2234663108718
3445.397511726995, 1865.9075317720362
3440.688746737059, 1869.0800288856235
3444.321604228003, 1864.9131099405454
3439.403128815935, 1867.920574435846
3443.251528266069, 1863.8070919461984
3438.118008446491, 1866.7058568974744
3442.2841903682597, 1862.88701342941
3441.0525638802446, 1861.744540569932
3436.8867131932802, 1865.6305815758608
3439.948544744461, 1860.7626292101181
3438.864682394021, 1859.712032906644
3436.6440303245618, 1857.6048136481631
3437.747384523008, 1858.746420204617
